Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
EGBG,"Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/108766319/egbg,3.5,-1,Sport,5.10a,1,90,37.64919,-83.71343
"Post Moderate","Winter Wall > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/105796992/post-moderate,3.5,-1,Sport,5.9,1,165,35.80566,-106.14024
"Pogue Ethics","Phantasia > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106149020/pogue-ethics,3.5,-1,Sport,5.9+,1,80,37.84495,-83.64369
"Flight of the Gumby","Butcher's Branch > Kaymoor > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105944377/flight-of-the-gumby,3.5,-1,Sport,5.9+,1,80,38.05092,-81.07276
"Red Rib","Hostess Gully - West Corridor > Castle Rock > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105811870/red-rib,3.5,-1,Sport,5.10a,1,195,42.12433,-113.67199
"Green Goblin","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105965785/green-goblin,3.5,-1,Sport,5.8,1,65,36.00881,-93.29549
Ruben,"Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/109079486/ruben,3.4,-1,Sport,5.9,1,90,35.17715,-85.68247
"Screaming Yellow Zonkers","(q) Mesa Verde Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105803440/screaming-yellow-zonkers,3.5,-1,Sport,5.10b,1,85,44.36866,-121.14442
"New River","North End > The Peak’s Crag > San Francisco Peaks > Flagstaff Crags > Northern Arizona > Arizona",https://www.mountainproject.com/route/110520937/new-river,3.5,-1,Sport,5.10b,1,60,35.30715,-111.70502
"Swamp Rat","Cliffs of Insanity > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106264981/swamp-rat,3.5,-1,Sport,5.8,1,70,36.0049,-93.2846
"Mr. Slate","Swiss Tower > The Pit > Flagstaff Crags > Northern Arizona > Arizona",https://www.mountainproject.com/route/105810911/mr-slate,3.4,-1,Sport,5.10b,1,70,35.12939,-111.59642
"Autumn Arch","g. Autumn Arch Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107379077/autumn-arch,3.4,-1,Sport,5.10b,1,85,39.91868,-76.37749
"Ga-stoned Again","The Gym > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105761217/ga-stoned-again,3.4,-1,Sport,5.9,1,80,38.6329,-105.2165
"Too Much Fun","Bumblie Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742073/too-much-fun,3.4,-1,Sport,5.8,1,150,42.07848,-113.7135
Thor,"World Domination > Mondo Beyondo > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105956413/thor,3.5,-1,Sport,5.10a,1,70,44.13034,-107.2571
"Gettin' Lucky in Kentucky","Tectonic Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106065461/gettin-lucky-in-kentucky,3.4,-1,Sport,5.10b,1,60,37.7301,-83.6318
Venom,"A. Mr. Jimmy > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106069022/venom,3.5,-1,Sport,5.10a,1,,37.50459,-88.68908
"More Funky Than Gunky","Camel Jockey > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/105827721/more-funky-than-gunky,3.5,-1,Sport,5.9,1,70,42.74111,-108.83388
"Reef On It!","Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado",https://www.mountainproject.com/route/108152210/reef-on-it,3.4,-1,Sport,5.10-,1,60,39.5167,-105.3958
"Pointy Little Devil","Shakers > Monster North > Magna Carta > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106668127/pointy-little-devil,3.5,-1,Sport,5.8,1,115,43.88366,-103.46281
